scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Adhaeretor mobilis	HG15A2	GCF_007741515.1	reference genome	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Adhaeretor	Adhaeretor mobilis	freshwater/marine	aerobe	non_gut	non_pathogenic
Adhaeribacter radiodurans	KUDC8001	GCF_014075995.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Adhaeribacter radiodurans	soil	aerobe	non_gut	non_pathogenic
Adlercreutzia equolifaciens DSM 19450	DSM 19450	GCF_000478885.1	reference genome	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Advenella kashmirensis WT001	WT001	GCF_000219915.2	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella kashmirensis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Aegicerativicinus sediminis	SM2-F	GCF_015476115.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aegicerativicinus	Aegicerativicinus sediminis	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Aegicerorhabdus qinzhovensis	GXIMD 04217	GCF_038087665.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Aegicerorhabdaceae	Aegicerorhabdus	Aegicerorhabdus qinzhovensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aeoliella mucimassa	Pan181	GCF_007748035.1	reference genome	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Aeoliella	Aeoliella mucimassa	freshwater/marine	aerobe	non_gut	non_pathogenic
Aequoribacter fuscus	IMCC3088	GCF_009910365.1	reference genome	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Aequoribacter	Aequoribacter fuscus	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aequorivita sublithincola DSM 14238	DSM 14238	GCF_000265385.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita sublithincola	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Aeribacillus composti	HB-1	GCF_031760945.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus composti	soil	aerobe	non_gut	non_pathogenic
Aerococcus urinaeequi	CCUG28094	GCF_001543205.1	reference genome	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinaeequi	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Aeromicrobium chenweiae	592	GCF_003065605.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium chenweiae	dairy/skin	anaerobe	non_gut	non_pathogenic
Aeromonas hydrophila subsp. hydrophila ATCC 7966	ATCC 7966	GCF_000014805.1	reference genome	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aerophototrophica crusticola	MIMtkB3	GCF_012913305.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Aerophototrophica	Aerophototrophica crusticola	soil/water	aerobe	non_gut	non_pathogenic
Aerosticca soli	Dysh456	GCF_003967035.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Aerosticca	Aerosticca soli	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
